Country ,Country Code,2014,2015,2016,2017,2018
Aruba,ABW,38223.37226,38249.05487,38390.27165,39454.62983,
Afghanistan,AFG,1897.525938,1886.692977,1896.99252,1934.636754,1955.006208
Angola,AGO,7199.245478,7096.600615,6756.935074,6650.58494,6452.355165
Albania,ALB,11259.22589,11662.03048,11868.17897,12930.14003,13364.1554
Arab World,ARB,16153.24486,16501.79259,16935.3833,17099.88939,17570.1376
United Arab Emirates,ARE,66443.99758,70212.09301,72386.09047,73137.87019,75075.25741
Argentina,ARG,20008.32064,20551.83319,20130.40803,20843.15507,20610.56855
Armenia,ARM,8405.073655,8727.385447,8808.572714,9620.818491,10343.17559
Antigua and Barbuda,ATG,21599.19914,22422.02939,23670.30226,24644.55188,26868.13352
Australia,AUS,46880.22066,46276.15069,47305.88002,49628.81181,51663.36509
Austria,AUT,48799.71547,49879.26647,51809.51363,53937.06638,55454.68929
Azerbaijan,AZE,17808.9019,17973.09067,17417.08669,17525.27963,18044.13678
Burundi,BDI,812.0300436,764.1957633,743.9035976,737.9785829,744.182072
Belgium,BEL,44929.68559,46213.26653,47855.49023,50220.86667,51407.99834
Benin,BEN,2114.480315,2122.235592,2169.755807,2276.59573,2424.755845
Burkina Faso,BFA,1672.023437,1704.859643,1772.848279,1866.514733,1984.884306
Bangladesh,BGD,3240.885623,3451.398507,3696.776193,3998.419424,4371.754986
Bulgaria,BGR,17534.30326,18186.48723,19500.32945,20948.19428,21960.36994
Bahrain,BHR,46331.98242,46911.96227,47215.78618,47660.71731,47303.04851
"Bahamas, The",BHS,30482.19811,30696.33839,30863.26693,31155.14475,32087.72915
Bosnia and Herzegovina,BIH,11433.16053,12013.9825,12824.03613,13735.0785,14623.67405
Belarus,BLR,18949.88244,18389.74375,18098.42286,18915.93989,19994.80408
Belize,BLZ,8179.45644,8371.374376,8242.629592,8352.944346,8648.0888
Bermuda,BMU,,,,,
Bolivia,BOL,6593.232982,6882.488916,7147.83921,7480.077141,7873.166243
Brazil,BRA,16358.39077,15813.85544,15331.54852,15662.24047,16096.40096
Barbados,BRB,16861.34651,17386.93959,17947.96334,18229.58768,18554.12928
Brunei Darussalam,BRN,80782.0315,80177.75612,78134.66652,79789.48786,80920.04868
Bhutan,BTN,8108.300979,8705.598204,9392.257873,9860.605042,10167.93406
Botswana,BWA,17092.12224,16724.51778,17314.77444,17784.84904,18615.79334
Central African Republic,CAF,710.8121645,744.7345426,780.9055326,821.2162029,859.9356196
Canada,CAN,45645.5643,44567.86635,45011.64317,46723.31776,48130.25597
Central Europe and the Baltics,CEB,24983.49474,26080.23562,27360.06805,29651.18951,31214.20902
Switzerland,CHE,61902.12954,63938.98939,64323.92524,66395.85634,68060.94105
Chile,CHL,22786.6556,22688.01003,22874.14942,24248.86076,25222.52778
China,CHN,13446.40239,14454.99797,15513.27304,16782.20776,18236.61298
Cote d'Ivoire,CIV,3211.099745,3444.4498,3665.550486,3921.713336,4207.086934
Cameroon,CMR,3311.734005,3442.73448,3546.54456,3644.801096,3785.079978
"Congo, Dem. Rep.",COD,829.3626456,867.0883574,868.6133562,888.67728,932.1720068
"Congo, Rep.",COG,6017.671947,6089.839655,5833.995644,5614.398974,5662.063411
Colombia,COL,13618.12436,14006.15358,14259.6093,14507.26125,15012.93027
Comoros,COM,2668.895231,2664.270877,2719.296174,2812.034747,2913.387306
Cabo Verde,CPV,6362.960401,6415.612462,6709.109916,7005.958684,7454.063917
Costa Rica,CRI,15067.31118,15610.87955,16278.6019,16976.18742,17671.09535
Caribbean small states,CSS,15560.61843,15811.35352,15549.41583,15701.59759,16187.11186
Curacao,CUW,27941.56819,27947.82167,27679.64503,27626.64095,27743.07005
Cayman Islands,CYM,66497.01153,68131.32457,70049.98185,72607.57077,
Cyprus,CYP,30042.81289,31722.36651,34379.46437,36875.12739,38513.28457
Czech Republic,CZE,32263.31575,33691.42424,35230.52246,38019.58051,39743.59709
Germany,DEU,47011.55109,47683.7886,49516.08269,52055.30995,53074.54012
Djibouti,DJI,,,,,
Dominica,DMA,11054.63145,10857.20177,11236.95243,10649.41929,11129.86119
Denmark,DNK,47901.44736,49058.50107,50877.44729,54282.54774,55671.16527
Dominican Republic,DOM,13623.11821,14555.74119,15519.61682,16370.95618,17748.18532
Algeria,DZA,14326.28301,14711.22085,15036.36415,15207.17915,15481.78762
East Asia & Pacific (excluding high income),EAP,12147.65629,12973.81389,13841.67109,14901.09619,16113.5407
Early-demographic dividend,EAR,8465.231701,8858.982785,9310.992004,9832.582256,10371.60394
East Asia & Pacific,EAS,15283.38565,16136.07647,17011.72437,18108.20143,19329.7759
Europe & Central Asia (excluding high income),ECA,19482.32448,19251.96079,19592.86613,20906.36067,21931.72445
Europe & Central Asia,ECS,30357.72039,30851.99799,31768.48136,33620.43238,34702.55472
Ecuador,ECU,11484.17161,11431.99158,11222.07849,11501.01029,11734.38739
"Egypt, Arab Rep.",EGY,10601.16669,10938.86186,11294.24924,11742.05009,12412.3094
Euro area,EMU,39949.45202,41053.33332,42711.53742,45090.46101,46207.32351
Eritrea,ERI,,,,,
Spain,ESP,33525.74063,34912.47613,36554.93455,38888.73547,39715.43906
Estonia,EST,29135.7044,29397.12984,30913.20512,33675.45771,35973.77646
Ethiopia,ETH,1494.112052,1621.706726,1746.16277,1897.249077,2022.137961
