,code,2014,2015,2016,2017
0,ABW,38223.37226,38249.05487,38390.27165,39454.62983
1,AFG,1897.525938,1886.692977,1896.99252,1934.636754
2,AGO,7199.245478,7096.600615,6756.935074,6650.58494
3,ALB,11259.22589,11662.03048,11868.17897,12930.14003
4,ARB,16153.24486,16501.79259,16935.3833,17099.88939
5,ARE,66443.99758,70212.09301,72386.09047,73137.87019
6,ARG,20008.32064,20551.83319,20130.40803,20843.15507
7,ARM,8405.073655,8727.385447,8808.572714,9620.818491
8,ATG,21599.19914,22422.02939,23670.30226,24644.55188
9,AUS,46880.22066,46276.15069,47305.88002,49628.81181
10,AUT,48799.71547,49879.26647,51809.51363,53937.06638
11,AZE,17808.9019,17973.09067,17417.08669,17525.27963
12,BDI,812.0300436,764.1957633,743.9035976,737.9785829
13,BEL,44929.68559,46213.26653,47855.49023,50220.86667
14,BEN,2114.480315,2122.235592,2169.755807,2276.59573
15,BFA,1672.023437,1704.859643,1772.848279,1866.514733
16,BGD,3240.885623,3451.398507,3696.776193,3998.419424
17,BGR,17534.30326,18186.48723,19500.32945,20948.19428
18,BHR,46331.98242,46911.96227,47215.78618,47660.71731
19,BHS,30482.19811,30696.33839,30863.26693,31155.14475
20,BIH,11433.16053,12013.9825,12824.03613,13735.0785
21,BLR,18949.88244,18389.74375,18098.42286,18915.93989
22,BLZ,8179.45644,8371.374376,8242.629592,8352.944346
23,BMU,,,,
24,BOL,6593.232982,6882.488916,7147.83921,7480.077141
25,BRA,16358.39077,15813.85544,15331.54852,15662.24047
26,BRB,16861.34651,17386.93959,17947.96334,18229.58768
27,BRN,80782.0315,80177.75612,78134.66652,79789.48786
28,BTN,8108.300979,8705.598204,9392.257873,9860.605042
29,BWA,17092.12224,16724.51778,17314.77444,17784.84904
30,CAF,710.8121645,744.7345426,780.9055326,821.2162029
31,CAN,45645.5643,44567.86635,45011.64317,46723.31776
32,CEB,24983.49474,26080.23562,27360.06805,29651.18951
33,CHE,61902.12954,63938.98939,64323.92524,66395.85634
34,CHL,22786.6556,22688.01003,22874.14942,24248.86076
35,CHN,13446.40239,14454.99797,15513.27304,16782.20776
36,CIV,3211.099745,3444.4498,3665.550486,3921.713336
37,CMR,3311.734005,3442.73448,3546.54456,3644.801096
38,COD,829.3626456,867.0883574,868.6133562,888.67728
39,COG,6017.671947,6089.839655,5833.995644,5614.398974
